    alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   8.700   1.9014   0.00000   0.00000  -0.4699   0.0000   0.0000
   8.800   1.9231   0.00000   0.00000  -0.4751   0.0000   0.0000
   8.900   1.9448   0.00000   0.00000  -0.4803   0.0000   0.0000
   9.000   1.9665   0.00000   0.00000  -0.4856   0.0000   0.0000
   9.100   1.9881   0.00000   0.00000  -0.4908   0.0000   0.0000
   9.200   2.0098   0.00000   0.00000  -0.4960   0.0000   0.0000
   9.300   2.0314   0.00000   0.00000  -0.5012   0.0000   0.0000
   9.400   2.0531   0.00000   0.00000  -0.5064   0.0000   0.0000
   9.500   2.0747   0.00000   0.00000  -0.5116   0.0000   0.0000
   9.600   2.0964   0.00000   0.00000  -0.5168   0.0000   0.0000
   9.700   2.1180   0.00000   0.00000  -0.5219   0.0000   0.0000
   9.800   2.1396   0.00000   0.00000  -0.5271   0.0000   0.0000
   9.900   2.1612   0.00000   0.00000  -0.5323   0.0000   0.0000
  10.000   2.1828   0.00000   0.00000  -0.5374   0.0000   0.0000
  10.100   2.2045   0.00000   0.00000  -0.5426   0.0000   0.0000
  10.200   2.2260   0.00000   0.00000  -0.5477   0.0000   0.0000
  10.300   2.2476   0.00000   0.00000  -0.5529   0.0000   0.0000
  10.400   2.2692   0.00000   0.00000  -0.5580   0.0000   0.0000
  10.500   2.2908   0.00000   0.00000  -0.5631   0.0000   0.0000
  10.600   2.3124   0.00000   0.00000  -0.5682   0.0000   0.0000
  10.700   2.3339   0.00000   0.00000  -0.5733   0.0000   0.0000
  10.800   2.3555   0.00000   0.00000  -0.5784   0.0000   0.0000
  10.900   2.3770   0.00000   0.00000  -0.5835   0.0000   0.0000
  11.000   2.3986   0.00000   0.00000  -0.5886   0.0000   0.0000
  11.100   2.4201   0.00000   0.00000  -0.5937   0.0000   0.0000
  11.200   2.4416   0.00000   0.00000  -0.5988   0.0000   0.0000
  11.300   2.4631   0.00000   0.00000  -0.6038   0.0000   0.0000
  11.400   2.4847   0.00000   0.00000  -0.6089   0.0000   0.0000
  11.500   2.5062   0.00000   0.00000  -0.6140   0.0000   0.0000
  11.600   2.5277   0.00000   0.00000  -0.6190   0.0000   0.0000
  11.700   2.5491   0.00000   0.00000  -0.6240   0.0000   0.0000
  11.800   2.5706   0.00000   0.00000  -0.6291   0.0000   0.0000
  11.900   2.5921   0.00000   0.00000  -0.6341   0.0000   0.0000
  12.000   2.6136   0.00000   0.00000  -0.6391   0.0000   0.0000
  12.100   2.6350   0.00000   0.00000  -0.6441   0.0000   0.0000
  12.200   2.6565   0.00000   0.00000  -0.6491   0.0000   0.0000
  12.300   2.6779   0.00000   0.00000  -0.6541   0.0000   0.0000
  12.400   2.6993   0.00000   0.00000  -0.6591   0.0000   0.0000
  12.500   2.7208   0.00000   0.00000  -0.6641   0.0000   0.0000
  12.600   2.7422   0.00000   0.00000  -0.6690   0.0000   0.0000
  12.700   2.7636   0.00000   0.00000  -0.6740   0.0000   0.0000
  12.800   2.7850   0.00000   0.00000  -0.6789   0.0000   0.0000
  12.900   2.8064   0.00000   0.00000  -0.6839   0.0000   0.0000
  13.000   2.8278   0.00000   0.00000  -0.6888   0.0000   0.0000
  13.100   2.8491   0.00000   0.00000  -0.6937   0.0000   0.0000
  13.200   2.8705   0.00000   0.00000  -0.6987   0.0000   0.0000
  13.300   2.8918   0.00000   0.00000  -0.7036   0.0000   0.0000
  13.400   2.9132   0.00000   0.00000  -0.7085   0.0000   0.0000
  13.500   2.9345   0.00000   0.00000  -0.7134   0.0000   0.0000
  13.600   2.9559   0.00000   0.00000  -0.7182   0.0000   0.0000
  13.700   2.9772   0.00000   0.00000  -0.7231   0.0000   0.0000
  13.800   2.9985   0.00000   0.00000  -0.7280   0.0000   0.0000
  13.900   3.0198   0.00000   0.00000  -0.7328   0.0000   0.0000
  14.000   3.0411   0.00000   0.00000  -0.7377   0.0000   0.0000
  14.100   3.0624   0.00000   0.00000  -0.7425   0.0000   0.0000
  14.200   3.0836   0.00000   0.00000  -0.7474   0.0000   0.0000
  14.300   3.1049   0.00000   0.00000  -0.7522   0.0000   0.0000
  14.400   3.1262   0.00000   0.00000  -0.7570   0.0000   0.0000
  14.500   3.1474   0.00000   0.00000  -0.7618   0.0000   0.0000
  14.600   3.1686   0.00000   0.00000  -0.7666   0.0000   0.0000
  14.700   3.1899   0.00000   0.00000  -0.7714   0.0000   0.0000
  14.800   3.2111   0.00000   0.00000  -0.7761   0.0000   0.0000
  14.900   3.2323   0.00000   0.00000  -0.7809   0.0000   0.0000
  15.000   3.2535   0.00000   0.00000  -0.7857   0.0000   0.0000
  15.100   3.2747   0.00000   0.00000  -0.7904   0.0000   0.0000
  15.200   3.2959   0.00000   0.00000  -0.7951   0.0000   0.0000
  15.300   3.3170   0.00000   0.00000  -0.7999   0.0000   0.0000
  15.400   3.3382   0.00000   0.00000  -0.8046   0.0000   0.0000
  15.500   3.3593   0.00000   0.00000  -0.8093   0.0000   0.0000
  15.600   3.3805   0.00000   0.00000  -0.8140   0.0000   0.0000
  15.700   3.4016   0.00000   0.00000  -0.8187   0.0000   0.0000
  15.800   3.4227   0.00000   0.00000  -0.8233   0.0000   0.0000
  15.900   3.4438   0.00000   0.00000  -0.8280   0.0000   0.0000
  16.000   3.4649   0.00000   0.00000  -0.8327   0.0000   0.0000
  16.100   3.4860   0.00000   0.00000  -0.8373   0.0000   0.0000
  16.200   3.5071   0.00000   0.00000  -0.8420   0.0000   0.0000
  16.300   3.5281   0.00000   0.00000  -0.8466   0.0000   0.0000
  16.400   3.5492   0.00000   0.00000  -0.8512   0.0000   0.0000
  16.500   3.5702   0.00000   0.00000  -0.8558   0.0000   0.0000
  16.600   3.5913   0.00000   0.00000  -0.8604   0.0000   0.0000
  16.700   3.6123   0.00000   0.00000  -0.8650   0.0000   0.0000
  16.800   3.6333   0.00000   0.00000  -0.8696   0.0000   0.0000
  16.900   3.6543   0.00000   0.00000  -0.8741   0.0000   0.0000
  17.000   3.6753   0.00000   0.00000  -0.8787   0.0000   0.0000
  17.100   3.6962   0.00000   0.00000  -0.8832   0.0000   0.0000
  17.200   3.7172   0.00000   0.00000  -0.8877   0.0000   0.0000
  17.300   3.7382   0.00000   0.00000  -0.8923   0.0000   0.0000
  17.400   3.7591   0.00000   0.00000  -0.8968   0.0000   0.0000
  17.500   3.7800   0.00000   0.00000  -0.9013   0.0000   0.0000
  17.600   3.8009   0.00000   0.00000  -0.9058   0.0000   0.0000
  17.700   3.8219   0.00000   0.00000  -0.9102   0.0000   0.0000
  17.800   3.8427   0.00000   0.00000  -0.9147   0.0000   0.0000
  17.900   3.8636   0.00000   0.00000  -0.9192   0.0000   0.0000
  18.000   3.8845   0.00000   0.00000  -0.9236   0.0000   0.0000
  18.100   3.9054   0.00000   0.00000  -0.9280   0.0000   0.0000
  18.200   3.9262   0.00000   0.00000  -0.9324   0.0000   0.0000
  18.300   3.9470   0.00000   0.00000  -0.9369   0.0000   0.0000
  18.400   3.9679   0.00000   0.00000  -0.9413   0.0000   0.0000
  18.500   3.9887   0.00000   0.00000  -0.9456   0.0000   0.0000
  18.600   4.0095   0.00000   0.00000  -0.9500   0.0000   0.0000
  18.700   4.0303   0.00000   0.00000  -0.9544   0.0000   0.0000
  18.800   4.0510   0.00000   0.00000  -0.9587   0.0000   0.0000
  18.900   4.0718   0.00000   0.00000  -0.9631   0.0000   0.0000
  19.000   4.0926   0.00000   0.00000  -0.9674   0.0000   0.0000
  19.100   4.1133   0.00000   0.00000  -0.9717   0.0000   0.0000
  19.200   4.1340   0.00000   0.00000  -0.9760   0.0000   0.0000
  19.300   4.1547   0.00000   0.00000  -0.9803   0.0000   0.0000
  19.400   4.1754   0.00000   0.00000  -0.9846   0.0000   0.0000
  19.500   4.1961   0.00000   0.00000  -0.9889   0.0000   0.0000
  19.600   4.2168   0.00000   0.00000  -0.9931   0.0000   0.0000
  19.700   4.2375   0.00000   0.00000  -0.9974   0.0000   0.0000
  19.800   4.2581   0.00000   0.00000  -1.0016   0.0000   0.0000
  19.900   4.2787   0.00000   0.00000  -1.0058   0.0000   0.0000
  20.000   4.2994   0.00000   0.00000  -1.0100   0.0000   0.0000
  20.100   4.3200   0.00000   0.00000  -1.0142   0.0000   0.0000
  20.200   4.3406   0.00000   0.00000  -1.0184   0.0000   0.0000
  20.300   4.3612   0.00000   0.00000  -1.0226   0.0000   0.0000
  20.400   4.3817   0.00000   0.00000  -1.0267   0.0000   0.0000
  20.500   4.4023   0.00000   0.00000  -1.0309   0.0000   0.0000
  20.600   4.4228   0.00000   0.00000  -1.0350   0.0000   0.0000
  20.700   4.4434   0.00000   0.00000  -1.0391   0.0000   0.0000
  20.800   4.4639   0.00000   0.00000  -1.0432   0.0000   0.0000
  20.900   4.4844   0.00000   0.00000  -1.0473   0.0000   0.0000
  21.000   4.5049   0.00000   0.00000  -1.0514   0.0000   0.0000
  21.100   4.5253   0.00000   0.00000  -1.0555   0.0000   0.0000
  21.200   4.5458   0.00000   0.00000  -1.0595   0.0000   0.0000
  21.300   4.5663   0.00000   0.00000  -1.0636   0.0000   0.0000
  21.400   4.5867   0.00000   0.00000  -1.0676   0.0000   0.0000
  21.500   4.6071   0.00000   0.00000  -1.0716   0.0000   0.0000
  21.600   4.6275   0.00000   0.00000  -1.0756   0.0000   0.0000
  21.700   4.6479   0.00000   0.00000  -1.0796   0.0000   0.0000
  21.800   4.6683   0.00000   0.00000  -1.0836   0.0000   0.0000
  21.900   4.6886   0.00000   0.00000  -1.0876   0.0000   0.0000
  22.000   4.7090   0.00000   0.00000  -1.0915   0.0000   0.0000
  22.100   4.7293   0.00000   0.00000  -1.0955   0.0000   0.0000
  22.200   4.7497   0.00000   0.00000  -1.0994   0.0000   0.0000
  22.300   4.7700   0.00000   0.00000  -1.1033   0.0000   0.0000
  22.400   4.7903   0.00000   0.00000  -1.1072   0.0000   0.0000
  22.500   4.8105   0.00000   0.00000  -1.1111   0.0000   0.0000
  22.600   4.8308   0.00000   0.00000  -1.1150   0.0000   0.0000
  22.700   4.8510   0.00000   0.00000  -1.1188   0.0000   0.0000
  22.800   4.8713   0.00000   0.00000  -1.1227   0.0000   0.0000
  22.900   4.8915   0.00000   0.00000  -1.1265   0.0000   0.0000
  23.000   4.9117   0.00000   0.00000  -1.1303   0.0000   0.0000
  23.100   4.9319   0.00000   0.00000  -1.1341   0.0000   0.0000
  23.200   4.9521   0.00000   0.00000  -1.1379   0.0000   0.0000
  23.300   4.9722   0.00000   0.00000  -1.1417   0.0000   0.0000
  23.400   4.9924   0.00000   0.00000  -1.1454   0.0000   0.0000
  23.500   5.0125   0.00000   0.00000  -1.1492   0.0000   0.0000
  23.600   5.0326   0.00000   0.00000  -1.1529   0.0000   0.0000
  23.700   5.0527   0.00000   0.00000  -1.1566   0.0000   0.0000
  23.800   5.0728   0.00000   0.00000  -1.1603   0.0000   0.0000
  23.900   5.0928   0.00000   0.00000  -1.1640   0.0000   0.0000
  24.000   5.1129   0.00000   0.00000  -1.1677   0.0000   0.0000
  24.100   5.1329   0.00000   0.00000  -1.1714   0.0000   0.0000
  24.200   5.1529   0.00000   0.00000  -1.1750   0.0000   0.0000
  24.300   5.1729   0.00000   0.00000  -1.1787   0.0000   0.0000
  24.400   5.1929   0.00000   0.00000  -1.1823   0.0000   0.0000
  24.500   5.2129   0.00000   0.00000  -1.1859   0.0000   0.0000
  24.600   5.2329   0.00000   0.00000  -1.1895   0.0000   0.0000
  24.700   5.2528   0.00000   0.00000  -1.1931   0.0000   0.0000
  24.800   5.2727   0.00000   0.00000  -1.1966   0.0000   0.0000
  24.900   5.2926   0.00000   0.00000  -1.2002   0.0000   0.0000
  25.000   5.3125   0.00000   0.00000  -1.2037   0.0000   0.0000
  25.100   5.3324   0.00000   0.00000  -1.2072   0.0000   0.0000
  25.200   5.3523   0.00000   0.00000  -1.2107   0.0000   0.0000
  25.300   5.3721   0.00000   0.00000  -1.2142   0.0000   0.0000
  25.400   5.3919   0.00000   0.00000  -1.2177   0.0000   0.0000
  25.500   5.4117   0.00000   0.00000  -1.2211   0.0000   0.0000
  25.600   5.4315   0.00000   0.00000  -1.2246   0.0000   0.0000
  25.700   5.4513   0.00000   0.00000  -1.2280   0.0000   0.0000
  25.800   5.4711   0.00000   0.00000  -1.2314   0.0000   0.0000
  25.900   5.4908   0.00000   0.00000  -1.2348   0.0000   0.0000
  26.000   5.5106   0.00000   0.00000  -1.2382   0.0000   0.0000
  26.100   5.5303   0.00000   0.00000  -1.2416   0.0000   0.0000
  26.200   5.5500   0.00000   0.00000  -1.2449   0.0000   0.0000
  26.300   5.5696   0.00000   0.00000  -1.2483   0.0000   0.0000
  26.400   5.5893   0.00000   0.00000  -1.2516   0.0000   0.0000
  26.500   5.6089   0.00000   0.00000  -1.2549   0.0000   0.0000
  26.600   5.6286   0.00000   0.00000  -1.2582   0.0000   0.0000
  26.700   5.6482   0.00000   0.00000  -1.2615   0.0000   0.0000
  26.800   5.6678   0.00000   0.00000  -1.2647   0.0000   0.0000
  26.900   5.6873   0.00000   0.00000  -1.2680   0.0000   0.0000
  27.000   5.7069   0.00000   0.00000  -1.2712   0.0000   0.0000
  27.100   5.7264   0.00000   0.00000  -1.2744   0.0000   0.0000
  27.200   5.7460   0.00000   0.00000  -1.2776   0.0000   0.0000
  27.300   5.7655   0.00000   0.00000  -1.2808   0.0000   0.0000
  27.400   5.7849   0.00000   0.00000  -1.2840   0.0000   0.0000
  27.500   5.8044   0.00000   0.00000  -1.2871   0.0000   0.0000
  27.600   5.8239   0.00000   0.00000  -1.2903   0.0000   0.0000
  27.700   5.8433   0.00000   0.00000  -1.2934   0.0000   0.0000
  27.800   5.8627   0.00000   0.00000  -1.2965   0.0000   0.0000
