 tau;Ta1(X1);Ta1(X2);Ta1(X3)
       0.630000000;       0.001548454;       0.192934364;       0.272076484
       0.640000000;       0.001510983;       0.188265698;       0.265492857
       0.650000000;       0.001474420;       0.183710014;       0.259068526
       0.660000000;       0.001438741;       0.179264576;       0.252799641
       0.670000000;       0.001403926;       0.174926714;       0.246682441
       0.680000000;       0.001369953;       0.170693825;       0.240713258
       0.690000000;       0.001336803;       0.166563367;       0.234888512
       0.700000000;       0.001304455;       0.162532861;       0.229204707
       0.710000000;       0.001272889;       0.158599887;       0.223658436
       0.720000000;       0.001242088;       0.154762086;       0.218246370
       0.730000000;       0.001212031;       0.151017153;       0.212965263
       0.740000000;       0.001182703;       0.147362841;       0.207811946
       0.750000000;       0.001154084;       0.143796956;       0.202783327
       0.760000000;       0.001126157;       0.140317360;       0.197876390
       0.770000000;       0.001098906;       0.136921964;       0.193088189
       0.780000000;       0.001072315;       0.133608730;       0.188415852
       0.790000000;       0.001046367;       0.130375670;       0.183856576
       0.800000000;       0.001021047;       0.127220843;       0.179407624
       0.810000000;       0.000996340;       0.124142357;       0.175066328
       0.820000000;       0.000972230;       0.121138365;       0.170830081
       0.830000000;       0.000948704;       0.118207063;       0.166696343
       0.840000000;       0.000925748;       0.115346693;       0.162662633
       0.850000000;       0.000903346;       0.112555538;       0.158726530
       0.860000000;       0.000881487;       0.109831923;       0.154885672
       0.870000000;       0.000860157;       0.107174215;       0.151137756
       0.880000000;       0.000839343;       0.104580817;       0.147480531
       0.890000000;       0.000819033;       0.102050175;       0.143911804
       0.900000000;       0.000799214;       0.099580769;       0.140429432
       0.910000000;       0.000779874;       0.097171117;       0.137031327
       0.920000000;       0.000761003;       0.094819775;       0.133715448
       0.930000000;       0.000742588;       0.092525330;       0.130479808
       0.940000000;       0.000724619;       0.090286406;       0.127322463
       0.950000000;       0.000707085;       0.088101659;       0.124241519
       0.960000000;       0.000689975;       0.085969778;       0.121235128
       0.970000000;       0.000673279;       0.083889485;       0.118301486
       0.980000000;       0.000656987;       0.081859531;       0.115438831
       0.990000000;       0.000641089;       0.079878698;       0.112645447
       1.000000000;       0.000625576;       0.077945796;       0.109919657
       1.010000000;       0.000610438;       0.076059667;       0.107259826
       1.020000000;       0.000595667;       0.074219178;       0.104664357
       1.030000000;       0.000581253;       0.072423226;       0.102131694
       1.040000000;       0.000567188;       0.070670732;       0.099660315
       1.050000000;       0.000553463;       0.068960644;       0.097248739
       1.060000000;       0.000540071;       0.067291937;       0.094895518
       1.070000000;       0.000527002;       0.065663610;       0.092599240
       1.080000000;       0.000514250;       0.064074685;       0.090358528
       1.090000000;       0.000501806;       0.062524208;       0.088172036
       1.100000000;       0.000489663;       0.061011250;       0.086038453
       1.110000000;       0.000477814;       0.059534902;       0.083956498
