 tau;Ta1(X1);Ta1(X2);Ta1(X3)
       0.000000000;       0.997639501;       1.000003365;       0.999999946
       0.010000000;       0.020502470;       0.999629329;       1.000000001
       0.020000000;       0.014502221;       0.988190169;       0.999998954
       0.030000000;       0.011842319;       0.960204359;       0.999916254
       0.040000000;       0.010256315;       0.925002106;       0.999223975
       0.050000000;       0.009173831;       0.888733140;       0.996988486
       0.060000000;       0.008374708;       0.853982159;       0.992467212
       0.070000000;       0.007753587;       0.821626489;       0.985372330
       0.080000000;       0.007252862;       0.791813139;       0.975784521
       0.090000000;       0.006837985;       0.764393547;       0.963989262
       0.100000000;       0.006486760;       0.739115216;       0.950351370
       0.110000000;       0.006184137;       0.715706243;       0.935241346
       0.120000000;       0.005919459;       0.693911268;       0.918999111
       0.130000000;       0.005684920;       0.673504809;       0.901919875
       0.140000000;       0.005474646;       0.654294144;       0.884251721
       0.150000000;       0.005284132;       0.636117531;       0.866198749
       0.160000000;       0.005109866;       0.618840626;       0.847926413
       0.170000000;       0.004949080;       0.602352458;       0.829567370
       0.180000000;       0.004799579;       0.586561569;       0.811227006
       0.190000000;       0.004659604;       0.571392594;       0.792988337
       0.200000000;       0.004527745;       0.556783320;       0.774916194
       0.210000000;       0.004402865;       0.542682244;       0.757060702
       0.220000000;       0.004284041;       0.529046547;       0.739460161
       0.230000000;       0.004170525;       0.515840449;       0.722143381
       0.240000000;       0.004061705;       0.503033863;       0.705131582
       0.250000000;       0.003957083;       0.490601318;       0.688439931
       0.260000000;       0.003856247;       0.478521078;       0.672078775
       0.270000000;       0.003758856;       0.466774440;       0.656054635
       0.280000000;       0.003664629;       0.455345165;       0.640371004
       0.290000000;       0.003573329;       0.444219022;       0.625028989
       0.300000000;       0.003484758;       0.433383421;       0.610027819
       0.310000000;       0.003398746;       0.422827115;       0.595365261
       0.320000000;       0.003315149;       0.412539963;       0.581037946
       0.330000000;       0.003233843;       0.402512739;       0.567041632
       0.340000000;       0.003154720;       0.392736978;       0.553371413
       0.350000000;       0.003077683;       0.383204848;       0.540021889
       0.360000000;       0.003002649;       0.373909054;       0.526987298
       0.370000000;       0.002929541;       0.364842753;       0.514261621
       0.380000000;       0.002858292;       0.355999492;       0.501838667
       0.390000000;       0.002788838;       0.347373150;       0.489712144
       0.400000000;       0.002721121;       0.338957898;       0.477875705
       0.410000000;       0.002655090;       0.330748164;       0.466322993
       0.420000000;       0.002590693;       0.322738602;       0.455047676
       0.430000000;       0.002527883;       0.314924067;       0.444043468
       0.440000000;       0.002466618;       0.307299602;       0.433304151
       0.450000000;       0.002406853;       0.299860414;       0.422823591
       0.460000000;       0.002348551;       0.292601865;       0.412595745
       0.470000000;       0.002291671;       0.285519461;       0.402614675
       0.480000000;       0.002236177;       0.278608839;       0.392874552
       0.490000000;       0.002182035;       0.271865764;       0.383369659
       0.500000000;       0.002129208;       0.265286116;       0.374094396
       0.510000000;       0.002077665;       0.258865891;       0.365043278
       0.520000000;       0.002027373;       0.252601188;       0.356210941
       0.530000000;       0.001978302;       0.246488213;       0.347592137
       0.540000000;       0.001930421;       0.240523266;       0.339181738
       0.550000000;       0.001883700;       0.234702745;       0.330974730
       0.560000000;       0.001838111;       0.229023138;       0.322966217
       0.570000000;       0.001793627;       0.223481021;       0.315151415
       0.580000000;       0.001750221;       0.218073056;       0.307525651
       0.590000000;       0.001707865;       0.212795989;       0.300084364
       0.600000000;       0.001666536;       0.207646645;       0.292823101
       0.610000000;       0.001626207;       0.202621927;       0.285737512
       0.620000000;       0.001586854;       0.197718815;       0.278823354
