 X;T(a3, Fo13);T(a3, Fo23);T(a3, Fo33)
       0.890000000;       0.185376312;       0.056352910;       0.019029052
       0.900000000;       0.168792205;       0.051274439;       0.017314169
       0.910000000;       0.152132189;       0.046183314;       0.015595014
       0.920000000;       0.135403566;       0.041080793;       0.013872012
       0.930000000;       0.118613727;       0.035968134;       0.012145587
       0.940000000;       0.101770145;       0.030846599;       0.010416165
       0.950000000;       0.084880364;       0.025717453;       0.008684173
       0.960000000;       0.067951989;       0.020581960;       0.006950039
       0.970000000;       0.050992676;       0.015441388;       0.005214190
       0.980000000;       0.034010123;       0.010297005;       0.003477054
       0.990000000;       0.017012058;       0.005150082;       0.001739060
       1.000000000;       0.000006231;       0.000001887;       0.000000637
