 X;T(a2, Fo12);T(a2, Fo22);T(a2, Fo32)
       0.350000000;       0.830358370;       0.279659119;       0.094484951
       0.360000000;       0.824016298;       0.276934346;       0.093564332
       0.370000000;       0.817463530;       0.274141277;       0.092620639
       0.380000000;       0.810698326;       0.271280599;       0.091654103
       0.390000000;       0.803719014;       0.268353019;       0.090664965
       0.400000000;       0.796524000;       0.265359257;       0.089653467
       0.410000000;       0.789111776;       0.262300052;       0.088619859
       0.420000000;       0.781480926;       0.259176159;       0.087564396
       0.430000000;       0.773630135;       0.255988347;       0.086487339
       0.440000000;       0.765558195;       0.252737403;       0.085388952
       0.450000000;       0.757264016;       0.249424128;       0.084269507
       0.460000000;       0.748746628;       0.246049339;       0.083129280
       0.470000000;       0.740005191;       0.242613867;       0.081968552
       0.480000000;       0.731039003;       0.239118561;       0.080787609
       0.490000000;       0.721847504;       0.235564282;       0.079586743
       0.500000000;       0.712430285;       0.231951907;       0.078366249
       0.510000000;       0.702787094;       0.228282325;       0.077126429
       0.520000000;       0.692917840;       0.224556443;       0.075867589
       0.530000000;       0.682822600;       0.220775178;       0.074590038
       0.540000000;       0.672501626;       0.216939463;       0.073294092
       0.550000000;       0.661955351;       0.213050244;       0.071980071
       0.560000000;       0.651184390;       0.209108480;       0.070648299
       0.570000000;       0.640189547;       0.205115144;       0.069299103
       0.580000000;       0.628971822;       0.201071218;       0.067932818
       0.590000000;       0.617532409;       0.196977702;       0.066549779
       0.600000000;       0.605872707;       0.192835604;       0.065150327
       0.610000000;       0.593994318;       0.188645946;       0.063734809
       0.620000000;       0.581899050;       0.184409761;       0.062303573
       0.630000000;       0.569588924;       0.180128093;       0.060856972
       0.640000000;       0.557066172;       0.175801999;       0.059395362
       0.650000000;       0.544333240;       0.171432545;       0.057919105
       0.660000000;       0.531392790;       0.167020809;       0.056428564
       0.670000000;       0.518247699;       0.162567880;       0.054924106
       0.680000000;       0.504901063;       0.158074854;       0.053406104
       0.690000000;       0.491356194;       0.153542840;       0.051874931
       0.700000000;       0.477616618;       0.148972956;       0.050330964
       0.710000000;       0.463686080;       0.144366329;       0.048774586
       0.720000000;       0.449568538;       0.139724095;       0.047206178
       0.730000000;       0.435268162;       0.135047399;       0.045626129
       0.740000000;       0.420789333;       0.130337394;       0.044034828
       0.750000000;       0.406136637;       0.125595242;       0.042432667
       0.760000000;       0.391314870;       0.120822112;       0.040820042
       0.770000000;       0.376329022;       0.116019182;       0.039197350
       0.780000000;       0.361184285;       0.111187636;       0.037564991
       0.790000000;       0.345886042;       0.106328666;       0.035923368
       0.800000000;       0.330439862;       0.101443470;       0.034272885
       0.810000000;       0.314851498;       0.096533253;       0.032613951
       0.820000000;       0.299126879;       0.091599226;       0.030946973
       0.830000000;       0.283272104;       0.086642606;       0.029272364
       0.840000000;       0.267293436;       0.081664616;       0.027590535
       0.850000000;       0.251197296;       0.076666484;       0.025901902
       0.860000000;       0.234990253;       0.071649441;       0.024206882
       0.870000000;       0.218679020;       0.066614726;       0.022505891
       0.880000000;       0.202270444;       0.061563581;       0.020799350
       0.890000000;       0.185771497;       0.056497250;       0.019087680
       0.900000000;       0.169189270;       0.051416985;       0.017371303
       0.910000000;       0.152530962;       0.046324037;       0.015650641
       0.920000000;       0.135803873;       0.041219664;       0.013926120
       0.930000000;       0.119015391;       0.036105123;       0.012198164
       0.940000000;       0.102172988;       0.030981677;       0.010467200
       0.950000000;       0.085284205;       0.025850590;       0.008733655
       0.960000000;       0.068356647;       0.020713126;       0.006997956
       0.970000000;       0.051397968;       0.015570553;       0.005260531
       0.980000000;       0.034415865;       0.010424140;       0.003521808
       0.990000000;       0.017418066;       0.005275155;       0.001782218
       1.000000000;       0.000412319;       0.000124870;       0.000042187
