 X;T(a2, Fo12);T(a2, Fo22);T(a2, Fo32)
       0.010000000;       0.933992776;       0.327922430;       0.110791857
       0.020000000;       0.933753913;       0.327801126;       0.110750871
       0.030000000;       0.933355622;       0.327598984;       0.110682572
       0.040000000;       0.932797624;       0.327316056;       0.110586977
       0.050000000;       0.932079529;       0.326952410;       0.110464109
       0.060000000;       0.931200839;       0.326508138;       0.110314000
       0.070000000;       0.930160946;       0.325983347;       0.110136685
       0.080000000;       0.928959137;       0.325378167;       0.109932209
       0.090000000;       0.927594596;       0.324692749;       0.109700621
       0.100000000;       0.926066404;       0.323927259;       0.109441980
       0.110000000;       0.924373543;       0.323081888;       0.109156349
       0.120000000;       0.922514898;       0.322156844;       0.108843798
       0.130000000;       0.920489264;       0.321152355;       0.108504405
       0.140000000;       0.918295345;       0.320068667;       0.108138253
       0.150000000;       0.915931760;       0.318906049;       0.107745432
       0.160000000;       0.913397046;       0.317664787;       0.107326040
       0.170000000;       0.910689664;       0.316345188;       0.106880179
       0.180000000;       0.907808004;       0.314947575;       0.106407960
       0.190000000;       0.904750388;       0.313472294;       0.105909499
       0.200000000;       0.901515075;       0.311919709;       0.105384919
       0.210000000;       0.898100270;       0.310290202;       0.104834350
       0.220000000;       0.894504125;       0.308584175;       0.104257927
       0.230000000;       0.890724747;       0.306802048;       0.103655792
       0.240000000;       0.886760208;       0.304944262;       0.103028094
       0.250000000;       0.882608542;       0.303011273;       0.102374988
       0.260000000;       0.878267761;       0.301003558;       0.101696635
       0.270000000;       0.873735857;       0.298921613;       0.100993201
       0.280000000;       0.869010809;       0.296765950;       0.100264861
       0.290000000;       0.864090590;       0.294537101;       0.099511795
       0.300000000;       0.858973176;       0.292235616;       0.098734187
       0.310000000;       0.853656551;       0.289862061;       0.097932230
       0.320000000;       0.848138717;       0.287417023;       0.097106121
       0.330000000;       0.842417699;       0.284901103;       0.096256064
       0.340000000;       0.836491551;       0.282314923;       0.095382269
