m,k
5,1.4109773632828504
10,2.086683768395597
15,2.3293047119359978
20,2.347673297861508
25,2.266222738567003
30,2.1505840980600044
35,2.03176211414301
40,1.922575614594002
45,1.8270839614690004
50,1.7454709393284973
55,1.6764086245360077
60,1.618136706458495
65,1.5689205066965028
70,1.527220547234498
75,1.4917342401509992
80,1.4613849759484987
