m,Force
5,0.485540884504586
10,0.830113447325045
15,1.07205712905402
20,1.24195064484801
25,1.36229021261844
30,1.44876306432676
35,1.5119899966322
40,1.55908086758013
45,1.59480050720386
50,1.62237049430817
55,1.64399795169001
60,1.66121843259346
