Xfit,Yfit,Force
0.0,1.3618929369054367,1.363254829842342
0.00101010101010101,1.3618980513203938,1.363254829842342
0.00202020202020202,1.3619048756333523,1.363254829842342
0.0030303030303030303,1.3619134098443122,1.363254829842342
0.00404040404040404,1.3619236539532737,1.363254829842342
0.00505050505050505,1.3619356079602365,1.363254829842342
0.006060606060606061,1.3619492718652009,1.363254829842342
0.007070707070707071,1.3619646456681667,1.363254829842342
0.00808080808080808,1.3619817293691336,1.363254829842342
0.00909090909090909,1.3620005229681023,1.363254829842342
0.0101010101010101,1.3620210264650723,1.363254829842342
0.011111111111111112,1.362043239860044,1.363254829842342
0.012121212121212121,1.3620671631530168,1.363254829842342
0.013131313131313131,1.3620927963439913,1.363254829842342
0.014141414141414142,1.362120139432967,1.363254829842342
0.015151515151515152,1.3621491924199443,1.363254829842342
0.01616161616161616,1.362179955304923,1.363254829842342
0.01717171717171717,1.362212428087903,1.363254829842342
0.01818181818181818,1.3622466107688846,1.363254829842342
0.01919191919191919,1.3622825033478676,1.363254829842342
0.0202020202020202,1.3623201058248522,1.363254829842342
0.021212121212121213,1.362359418199838,1.363254829842342
0.022222222222222223,1.3624004404728254,1.363254829842342
0.023232323232323233,1.362443172643814,1.363254829842342
0.024242424242424242,1.3624876147128042,1.363254829842342
0.025252525252525252,1.3625337666797959,1.363254829842342
0.026262626262626262,1.362581628544789,1.363254829842342
0.02727272727272727,1.3626312003077836,1.363254829842342
0.028282828282828285,1.3626824819687795,1.363254829842342
0.029292929292929294,1.362735473527777,1.363254829842342
0.030303030303030304,1.3627901749847757,1.363254829842342
0.031313131313131314,1.362846586339776,1.363254829842342
0.03232323232323232,1.3629047075927778,1.363254829842342
0.03333333333333333,1.362964538743781,1.363254829842342
0.03434343434343434,1.3630260797927856,1.363254829842342
0.03535353535353535,1.3630893307397915,1.363254829842342
0.03636363636363636,1.3631542915847992,1.363254829842342
0.03737373737373737,1.363220962327808,1.363254829842342
0.03838383838383838,1.3632893429688184,1.363254829842342
0.03939393939393939,1.3633594335078303,1.363254829842342
0.0404040404040404,1.3634312339448436,1.363254829842342
0.04141414141414142,1.3635047442798582,1.363254829842342
0.04242424242424243,1.3635799645128743,1.363254829842342
0.043434343434343436,1.3636568946438918,1.363254829842342
0.044444444444444446,1.3637355346729108,1.363254829842342
0.045454545454545456,1.3638158845999313,1.363254829842342
0.046464646464646465,1.3638979444249533,1.363254829842342
0.047474747474747475,1.3639817141479764,1.363254829842342
0.048484848484848485,1.3640671937690012,1.363254829842342
0.049494949494949494,1.3641543832880274,1.363254829842342
0.050505050505050504,1.364243282705055,1.363254829842342
0.051515151515151514,1.3643338920200843,1.363254829842342
0.052525252525252523,1.3644262112331147,1.363254829842342
0.05353535353535353,1.3645202403441468,1.363254829842342
0.05454545454545454,1.36461597935318,1.363254829842342
0.05555555555555555,1.364713428260215,1.363254829842342
0.05656565656565657,1.3648125870652512,1.363254829842342
0.05757575757575758,1.364913455768289,1.363254829842342
0.05858585858585859,1.365016034369328,1.363254829842342
0.0595959595959596,1.3651203228683688,1.363254829842342
0.06060606060606061,1.3652263212654108,1.363254829842342
0.06161616161616162,1.3653340295604541,1.363254829842342
0.06262626262626263,1.3654434477534991,1.363254829842342
0.06363636363636363,1.3655545758445455,1.363254829842342
0.06464646464646465,1.3656674138335934,1.363254829842342
0.06565656565656566,1.3657819617206426,1.363254829842342
0.06666666666666667,1.3658982195056932,1.363254829842342
0.06767676767676768,1.3660161871887453,1.363254829842342
0.06868686868686869,1.366135864769799,1.363254829842342
0.0696969696969697,1.3662572522488539,1.363254829842342
0.0707070707070707,1.3663803496259104,1.363254829842342
0.07171717171717172,1.3665051569009683,1.363254829842342
0.07272727272727272,1.3666316740740276,1.363254829842342
0.07373737373737374,1.3667599011450884,1.363254829842342
0.07474747474747474,1.3668898381141505,1.363254829842342
0.07575757575757576,1.3670214849812141,1.363254829842342
0.07676767676767676,1.3671548417462793,1.363254829842342
0.07777777777777778,1.3672899084093457,1.363254829842342
0.07878787878787878,1.3674266849704138,1.363254829842342
0.0797979797979798,1.3675651714294832,1.363254829842342
0.0808080808080808,1.367705367786554,1.363254829842342
0.08181818181818182,1.3678472740416263,1.363254829842342
0.08282828282828283,1.3679908901947,1.363254829842342
0.08383838383838384,1.368136216245775,1.363254829842342
0.08484848484848485,1.3682832521948518,1.363254829842342
0.08585858585858586,1.3684319980419297,1.363254829842342
0.08686868686868687,1.3685824537870093,1.363254829842342
0.08787878787878788,1.3687346194300902,1.363254829842342
0.08888888888888889,1.3688884949711726,1.363254829842342
0.0898989898989899,1.3690440804102564,1.363254829842342
0.09090909090909091,1.3692013757473416,1.363254829842342
0.09191919191919191,1.3693603809824282,1.363254829842342
0.09292929292929293,1.3695210961155164,1.363254829842342
0.09393939393939393,1.3696835211466059,1.363254829842342
0.09494949494949495,1.369847656075697,1.363254829842342
0.09595959595959595,1.3700135009027894,1.363254829842342
0.09696969696969697,1.3701810556278833,1.363254829842342
0.09797979797979799,1.3703503202509786,1.363254829842342
0.09898989898989899,1.3705212947720753,1.363254829842342
0.1,1.3706939791911734,1.363254829842342
