Iteration,residual,force
     138,  0.9412140E-01,  0.1027523E+01
     139,  0.9316990E-01,  0.1031099E+01
     140,  0.9222705E-01,  0.1034639E+01
     141,  0.9129277E-01,  0.1038144E+01
     142,  0.9036700E-01,  0.1041613E+01
     143,  0.8944969E-01,  0.1045048E+01
     144,  0.8854078E-01,  0.1048447E+01
     145,  0.8764082E-01,  0.1051813E+01
     146,  0.8674923E-01,  0.1055144E+01
     147,  0.8586582E-01,  0.1058442E+01
     148,  0.8499052E-01,  0.1061707E+01
     149,  0.8412329E-01,  0.1064938E+01
     150,  0.8326405E-01,  0.1068137E+01
     151,  0.8241275E-01,  0.1071303E+01
     152,  0.8156933E-01,  0.1074437E+01
     153,  0.8073373E-01,  0.1077539E+01
     154,  0.7990589E-01,  0.1080609E+01
     155,  0.7908576E-01,  0.1083648E+01
     156,  0.7827328E-01,  0.1086657E+01
     157,  0.7746837E-01,  0.1089634E+01
     158,  0.7667100E-01,  0.1092581E+01
     159,  0.7588110E-01,  0.1095498E+01
     160,  0.7509861E-01,  0.1098385E+01
     161,  0.7432347E-01,  0.1101243E+01
     162,  0.7355563E-01,  0.1104071E+01
     163,  0.7279502E-01,  0.1106870E+01
     164,  0.7204160E-01,  0.1109640E+01
     165,  0.7129530E-01,  0.1112382E+01
     166,  0.7055607E-01,  0.1115095E+01
     167,  0.6982385E-01,  0.1117781E+01
     168,  0.6909859E-01,  0.1120439E+01
     169,  0.6838023E-01,  0.1123069E+01
     170,  0.6766872E-01,  0.1125673E+01
     171,  0.6696401E-01,  0.1128249E+01
     172,  0.6626603E-01,  0.1130799E+01
     173,  0.6557473E-01,  0.1133322E+01
     174,  0.6489007E-01,  0.1135819E+01
     175,  0.6421199E-01,  0.1138290E+01
     176,  0.6354042E-01,  0.1140735E+01
     177,  0.6287533E-01,  0.1143155E+01
     178,  0.6221666E-01,  0.1145550E+01
     179,  0.6156435E-01,  0.1147920E+01
     180,  0.6091835E-01,  0.1150265E+01
     181,  0.6027861E-01,  0.1152586E+01
     182,  0.5964509E-01,  0.1154882E+01
     183,  0.5901772E-01,  0.1157154E+01
     184,  0.5839645E-01,  0.1159403E+01
     185,  0.5778125E-01,  0.1161628E+01
     186,  0.5717205E-01,  0.1163830E+01
     187,  0.5656880E-01,  0.1166008E+01
     188,  0.5597146E-01,  0.1168164E+01
     189,  0.5537997E-01,  0.1170297E+01
     190,  0.5479430E-01,  0.1172408E+01
     191,  0.5421438E-01,  0.1174496E+01
     192,  0.5364016E-01,  0.1176563E+01
     193,  0.5307161E-01,  0.1178608E+01
     194,  0.5250867E-01,  0.1180631E+01
     195,  0.5195129E-01,  0.1182633E+01
     196,  0.5139943E-01,  0.1184613E+01
     197,  0.5085304E-01,  0.1186573E+01
     198,  0.5031207E-01,  0.1188512E+01
     199,  0.4977647E-01,  0.1190430E+01
     200,  0.4924621E-01,  0.1192328E+01
     201,  0.4872122E-01,  0.1194206E+01
     202,  0.4820148E-01,  0.1196064E+01
